"","values","all_small$favorite_count[all_small$Sentiment == ""Very Positive""]","all_small$Sentiment[all_small$Sentiment == ""Very Positive""]","all_small$text[all_small$Sentiment == ""Very Positive""]"
"1",3.46410161513775,3,"Very Positive","The North Coast of Scotland is spectacular  the sea  the sand dunes  the rolling bluffs  we walked the course and it is fantastic "
"2",4.47213595499958,5,"Very Positive","Cadillac Championship at Doral a great success  I just bought Doral  it will be amazing  Cadillac a great American car "
"3",6.6332495807108,11,"Very Positive"," With China beating us like a punching bag daily  OPEC vacuuming our wallets clean  and jobs nowhere in sight   cont  "
"4",7.74596669241483,15,"Very Positive","He  newtgingrich is sounding more and more like a real team player   he is a really good guy "
"5",10.5830052442584,28,"Very Positive","I am glad America is starting to get to know  MittRomney the way I know him  A wonderful   decent family man  cont  "
"6",12.1655250605964,37,"Very Positive","  BarackObama s college application would be very very very very interesting "
"7",11.3137084989848,32,"Very Positive","I have an idea for A Rod   buy a home at  TrumpGolfLA overlooking the Pacific  will bring you better luck "
"8",13.114877048604,43,"Very Positive","Fan favorite  LilJon once again shines in the record 13th season of  All Star   CelebApprentice   He is an amazing   wonderful guy "
"9",0,0,"Very Positive"," bf2088 Thanks  and good luck "
"10",21.8174242292714,119,"Very Positive","Re Real Estate  You dont necessarily need the best location  What you need is the best deal"
"11",8.71779788708135,19,"Very Positive","I am hearing that  NRCC Digital Director  lansing is doing great work expanding and modernizing  GOP social media   Good  we need it "
"12",0,0,"Very Positive"," homeedmam I wish him the best of luck "
"13",33.5261092284804,281,"Very Positive","Golf is a brain game   is a great way to improve your business skills  Concentration assessment  technique   passion   it s all there "
"14",0,0,"Very Positive"," HammerleAmanda  theRealKiyosaki  Thanks  and good luck "
"15",8.71779788708135,19,"Very Positive","    It is very effective and a commonly used business tool "
"16",15.0996688705415,57,"Very Positive","  StephenBaldwin7s mother thinks Im very handsome  Now I see where Stephen and Alec get their smarts   CelebApprentice"
"17",8,16,"Very Positive","  jimmyfallon regularly features  ApprenticeNBC contestants on his show  We love his support   hes a terrific host Tonight  Omarosa "
"18",9.16515138991168,21,"Very Positive","Looking forward to being the guest of honor at  ralphreed s  FaithandFreedom Patriot s Award Gala Dinner in Washington  DC"
"19",15.6204993518133,61,"Very Positive","What a great time we just had in the atrium of Tump Tower for  The place was happy and packed "
"20",9.59166304662544,23,"Very Positive","This Sundays LIVE FINALE of  ApprenticeNBC puts  pennjillette against  TraceAdkins  Watch two great competitors battle to win "
"21",29.4618397253125,217,"Very Positive","Memorial Day is a time to honor our nation s finest who made the ultimate sacrifice for our freedom  God bless them all "
"22",5.29150262212918,7,"Very Positive","  mrbocce   realDonaldTrump This Red Sox fan says let  em keep paying   Boston must be very happy "
"23",19.4935886896179,95,"Very Positive","Amazing comeback by The Heat   your friends at your favorite golf club  Trump National Doral  are proud of you  NOW for game 7 "
"24",2,1,"Very Positive"," michael74085825   Almost all residents love the course and the great things it has done for the community  Polls have shown 93  approval   "
